   3.1730245e+00   1.0067392e+01  -8.6878332e-02   3.9226438e+00  -1.1765857e+02  -2.4899845e+03   1.4772175e+00  -2.6001882e+01   2.1775082e+01
   3.4160914e+00   1.1667452e+01  -4.4028967e-02   4.1947759e+00  -7.1724511e+01  -4.0846287e+03   1.6621911e+00  -2.8885891e+01   2.4659091e+01
   3.3041716e+00   1.0916361e+01  -1.9175565e-01   3.3811452e+00  -9.4371276e+01  -3.1044192e+03   1.3463946e+00  -2.1012069e+01   1.9135169e+01
   3.0200435e+00   9.1187303e+00   1.9505317e-02   3.3486721e+00  -6.8154551e+01  -4.2985831e+03   1.3169288e+00  -2.3117873e+01   1.9409873e+01
   3.2122779e+00   1.0314929e+01  -7.6201719e-03   3.8125008e+00  -5.1864643e+01  -5.6487037e+03   1.4162366e+00  -2.3377276e+01   2.0981576e+01
   3.0199718e+00   9.1170751e+00   7.5463334e-03   3.1486196e+00  -5.3505028e+01  -5.4755227e+03   1.1860104e+00  -1.8387464e+01   1.8875764e+01
   3.4361194e+00   1.1806495e+01  -1.2094053e-02   4.1019123e+00  -1.5989341e+02  -1.8322706e+03   1.5595403e+00  -2.4948982e+01   2.3087382e+01
   3.8845286e+00   1.5089433e+01   1.0914973e-02   4.7666303e+00  -2.8876455e+02  -1.0145567e+03   2.0201504e+00  -3.9124816e+01   2.8595916e+01
   2.0318939e+00   4.1256391e+00  -6.7087809e-03   3.0794654e+00  -3.7297782e+01  -7.8548371e+03   1.3896550e-01  -9.7201831e+00   9.6896631e+00
   2.0132435e+00   4.0507305e+00  -2.1029299e-03   3.0290413e+00  -4.0816829e+01  -7.1776276e+03   1.0279528e-01  -9.2013622e+00   9.6896622e+00
   3.9836333e+00   1.5867697e+01  -2.6508950e-02   4.3401111e+00  -9.6873146e+01  -3.0242437e+03   2.1105625e+00  -3.8865423e+01   3.3051623e+01
   4.4039734e+00   1.9394985e+01  -4.7124897e-02   4.5656984e+00   5.5457440e+02   5.2827538e+02   2.3477522e+00  -4.6998641e+01   3.5676241e+01
   4.0810836e+00   1.6655273e+01   3.1601438e-02   3.5924925e+00  -7.8889693e+02  -3.7136410e+02   1.8889195e+00  -2.6261295e+01   2.9648795e+01
   3.9964832e+00   1.5971308e+01   1.8727087e-02   3.8195493e+00   1.5987876e+02   1.8324386e+03   1.8418386e+00  -2.6001893e+01   2.8595893e+01
   4.5569451e+00   2.0765366e+01  -5.9325694e-02   5.0790016e+00   2.1390120e+02   1.3696417e+03   2.2402587e+00  -4.0437124e+01   3.2014024e+01
   4.5946424e+00   2.1110511e+01  -2.3823245e-02   5.0669970e+00  -2.6511142e+02  -1.1050750e+03   2.3278593e+00  -4.2283534e+01   3.6210334e+01
   4.4687790e+00   1.9963990e+01  -2.0643641e-02   5.1186550e+00  -5.7388423e+01  -5.1050018e+03   2.0802833e+00  -3.4669108e+01   2.8595908e+01
   4.7868291e+00   2.2909565e+01  -7.5480056e-02   4.6150006e+00  -7.3461882e+01  -3.9880274e+03   2.2401683e+00  -3.5722017e+01   3.3051617e+01
   4.5132742e+00   2.0361720e+01  -1.3077655e-02   4.8481054e+00  -5.0480441e+01  -5.8035943e+03   2.4235498e+00  -3.7034350e+01   5.0645650e+01
   4.4952469e+00   2.0202416e+01  -4.1613082e-02   4.0111319e+00  -6.4229190e+01  -4.5612906e+03   1.9645329e+00  -2.7054794e+01   2.8061894e+01
   4.7906034e+00   2.2945359e+01  -2.6388740e-02   4.0126294e+00  -7.0633040e+01  -4.1477473e+03   2.1950716e+00  -3.3875611e+01   3.1220511e+01
   4.1613290e+00   1.7311975e+01  -4.8926504e-02   3.6078393e+00  -6.0426218e+01  -4.8483590e+03   1.8789051e+00  -2.8885893e+01   2.5437293e+01
   4.1613290e+00   1.7311975e+01  -4.8926504e-02   3.6078393e+00  -6.0426218e+01  -4.8483590e+03   1.8789051e+00  -2.8885893e+01   2.5437293e+01
   4.6811087e+00   2.1905410e+01  -1.5356214e-02   3.8814988e+00  -5.4258793e+01  -5.3994567e+03   2.0485309e+00  -2.9679398e+01   2.7802498e+01
   4.2989894e+00   1.8476387e+01  -1.8400163e-02   4.5165847e+00  -6.0885992e+01  -4.8117472e+03   2.0262528e+00  -3.2303905e+01   2.9389405e+01
   4.4774331e+00   2.0045755e+01  -6.6778620e-03   4.0405031e+00  -1.0794025e+02  -2.7141683e+03   1.9985790e+00  -3.0732198e+01   2.6490198e+01
   4.4694717e+00   1.9973415e+01  -1.1309380e-02   4.5428325e+00  -8.4001709e+01  -3.4876433e+03   2.1528871e+00  -3.5447415e+01   3.2014015e+01
   4.4481596e+00   1.9783039e+01   2.6766577e-03   4.2562900e+00  -7.9220973e+01  -3.6981116e+03   2.0499251e+00  -2.9938804e+01   3.0961104e+01
